TN,Un Number,PSN,Class,SubClass,PG,Spec Prov,Packing Para,
,UN3485,"CALCIUM HYPOCHLORITE, DRY, CORROSIVE
or CALCIUM HYPOCHLORITE MIXTURES,
DRY,CORROSIVE with more than 39% available chlorine (8.8% available oxygen)",5.1,8,II,"P5, 165, A7, A9, N34",A9.6.,
,UN2880,"CALCIUM HYPOCHLORITE, HYDRATED or
CALCIUM HYPOCHLORITE, HYDRATED
MIXTURES, with not less than 5.5%  but not more than 16% water",5.1,,II,P5,A9.6.,
,UN3487,"CALCIUM HYPOCHLORITE, HYDRATED, CORROSIVE or CALCIUM HYPOCHLORITE, HYDRATED MIXTURES, CORROSIVE with not
less than 5.5%  but not more than 16% water",5.1,8,"II
III","P5, 165
P5, 165","A9.6.
A9.6.",
,UN2208,"CALCIUM HYPOCHLORITE MIXTURES, DRY
with more than 10%, but not more than 39% available chlorine",5.1,,III,"P5, A1, A29, N34",A9.6.,
,UN2208,"CALCIUM HYPOCHLORITE MIXTURES, DRY,
CORROSIVE with more than 10%, but not more than
39% available chlorine",5.1,8,III,"P5, 165, A1, A29, N34",A9.6.,
,UN2844,CALCIUM MANGANESE SILICON,4.3,,III,"P5, A1, A19",A8.3.,
,UN1454,CALCIUM NITRATE,5.1,,III,P5,A9.6.,
,UN1910,CALCIUM OXIDE,8,,III,P5,A12.3.,
,UN1455,CALCIUM PERCHLORATE,5.1,,II,P5,A9.6.,
,UN1456,CALCIUM PERMANGANATE,5.1,,II,P5,A9.6.,
,UN1457,CALCIUM PEROXIDE,5.1,,II,P5,A9.6.,
,UN1360,CALCIUM PHOSPHIDE,4.3,6.1,I,"P3, A8, A19,
N40",A8.3.,
,UN1855,"CALCIUM, PYROPHORIC or CALCIUM ALLOYS, PYROPHORIC",4.2,,I,P3,A8.11.,
,UN1313,CALCIUM RESINATE,4.1,,III,"P5, A1, A19",A8.3.,
,UN1314,"CALCIUM RESINATE, FUSED",4.1,,III,"P5, A1, A19",A8.3.,
,,Calcium selenate; see SELENATES or SELENITES,,,,,,
,UN1405,CALCIUM SILICIDE,4.3,,II III,"P5, A19
P5, A1, A19","A8.3.
A8.3.",
,,"Calcium silicon, see CALCIUM SILICIDE",,,,,,
,,"Calcium superoxide, see CALCIUM PEROXIDE",,,,,,
,,"Calor gas, see HYDROCARBON GAS MIXTURE, COMPRESSED, N.O.S. or HYDROCARBON GAS
MIXTURE, LIQUEFIED, N.O.S.",,,,,,
,,"Camphanone, see CAMPHOR",,,,,,
,UN2717,"CAMPHOR, synthetic",4.1,,III,"P5, A1",A8.3.,
,UN1130,CAMPHOR OIL,3,,III,P5,A7.2.,
,,"Camping gas, see RECEPTACLES, SMALL,
CONTAINING GAS",,,,,,
,,"Candles, gas, see LIGHTERS",,,,,,
,,"Cannon primers, see PRIMERS, TUBULAR",,,,,,
,UN3508,"CAPACITOR, ASYMMETRIC with an energy storage capacity greater  than 0.3 Wh",9,,,P5,A13.19.,
,UN3499,"CAPACITOR, ELECTRIC DOUBLE  LAYER with
an energy storage capacity greater than 0.3 Wh",9,,,P5,A13.19.,
,UN2829,CAPROIC ACID,8,,III,P5,A12.2.,
,,"Caps, blasting, see DETONATORS, etc",,,,,,
,,"Caps, prime, see PRIMERS, CAP TYPE",,,,,,
,,"Caps, toy, see FIREWORKS",,,,,,
*,UN2758,"CARBAMATE PESTICIDES, LIQUID,
FLAMMABLE, TOXIC, flashpoint less than 23
degrees C",3,"6.1
6.1",I II,P3 P4,"A7.2.
A7.2.",
*,UN2992,"CARBAMATE PESTICIDES, LIQUID, TOXIC",6.1,,"I II
III","P3 P4
P5","A10.4.
A10.4.
A10.4.",
*,UN2991,"CARBAMATE PESTICIDES, LIQUID, TOXIC,
FLAMMABLE, flashpoint not less than 23 degrees C",6.1,"3
3
3","I
II III","P3
P4 P5","A10.4.
A10.4.
A10.4.",
*,UN2757,"CARBAMATE PESTICIDES, SOLID, TOXIC",6.1,,"I
II III","P5
P5 P5","A10.5.
A10.5.
A10.5.",
,,"Carbolic acid, see PHENOL, SOLID, or PHENOL, MOLTEN",,,,,,
,,"Carbolic acid solutions, see PHENOL SOLUTIONS",,,,,,
,UN1361,"CARBON, animal or vegetable origin",4.2,,"II
III","P5
P5","A8.3.
A8.3.",
,UN1362,"CARBON, ACTIVATED",4.2,,III,P5,A8.3.,
,,"Carbon bisulfide, see CARBON DISULFIDE",,,,,,
,,"Carbon black (animal or vegetable origin);see
CARBON",,,,,,
,UN1013,CARBON DIOXIDE,2.2,,,P5,"A6.3.,      A6.4.,
A6.5.",
,,"Carbon dioxide and ethylene oxide mixture, see
ETHYLENE OXIDE AND CARBON DIOXIDE MIXTURE, etc.",,,,,,
,UN2187,"CARBON DIOXIDE, REFRIGERATED LIQUID
(cryogenic liquid)",2.2,,,P5,"A6.3., A6.11.",
,UN1845,"CARBON DIOXIDE, SOLID or DRY ICE",9,,,P5,A13.10.,
,UN1131,CARBON DISULFIDE,3,6.1,I,,FORBIDDEN,
,,"Carbonic anhydride, see CARBON DIOXIDE",,,,,,
,UN1016,"CARBON MONOXIDE, COMPRESSED",2.3,2.1,,"P2, 4",A6.5.,
,,"Carbon oxysulfide, see CARBONYL SULPHIDE",,,,,,
,,"Carbon paper, see PAPER, UNSATURATED OIL
TREATED",,,,,,
D,NA9202,"CARBON MONOXIDE, REFRIGERATED LIQUID
(cryogenic liquid)",2.3,2.1,,"P2, 4",A6.11.,
,UN2516,CARBON TETRABROMIDE,6.1,,III,P5,A10.5.,
,UN1846,CARBON TETRACHLORIDE,6.1,,II,"P5, N36",A10.4.,
,,"Carbonyl chloride, see PHOSGENE",,,,,,
,UN2417,CARBONYL FLUORIDE,2.3,8,,"P2, 2",A6.5.,
,UN2204,CARBONYL SULFIDE,2.3,2.1,,"P2, 3",A6.4.,
,,"Cartridge cases, empty primed, see CASES,
CARTRIDGE, EMPTY WITH PRIMER",,,,,,
,,"Cartridges, actuating for aircraft ejector seat catapult, fire extinguisher, canopy removal or apparatus, see CARTRIDGES, POWER DEVICE",,,,,,
,,"Cartridges, explosive, see CHARGES, DEMOLITION",,,,,,
,UN0049,"CARTRIDGES, FLASH",1.1G,,,P4,A5.18.,
,UN0050,"CARTRIDGES, FLASH",1.3G,,,P4,A5.18.,
,UN0005,"CARTRIDGES FOR WEAPONS, with bursting
charge",1.1F,,,P4,A5.12.,
,UN0007,"CARTRIDGES FOR WEAPONS, with bursting
charge",1.2F,,,P4,A5.12.,
,UN0348,"CARTRIDGES FOR WEAPONS, with bursting charge",1.4F,,,P5,A5.12.,
,UN0412,"CARTRIDGES FOR WEAPONS, with bursting charge",1.4E,,,P5,A5.12.,
,UN0006,"CARTRIDGES FOR WEAPONS, with bursting charge",1.1E,,,P4,A5.12.,
,UN0321,"CARTRIDGES FOR WEAPONS, with bursting charge",1.2E,,,P4,A5.12.,
,UN0326,"CARTRIDGES FOR WEAPONS, BLANK",1.1C,,,P4,A5.12.,
,UN0413,"CARTRIDGES FOR WEAPONS, BLANK",1.2C,,,P4,A5.12.,
,UN0327,"CARTRIDGES FOR WEAPONS, BLANK; or
CARTRIDGES, SMALL ARMS, BLANK",1.3C,,,P4,A5.12.,
,UN0338,"CARTRIDGES FOR WEAPONS, BLANK; or
CARTRIDGES, SMALL ARMS, BLANK",1.4C,,,"P5, A69",A5.12.,
,UN0014,"CARTRIDGES FOR WEAPONS, BLANK; or
CARTRIDGES, SMALL ARMS, BLANK; or
CARTRIDGES FOR TOOLS, BLANK",1.4S,,,"P5, 112, A69",A5.12.,
,UN0328,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE",1.2C,,,P4,A5.12.,
,UN0417,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE or CARTRIDGES, SMALL ARMS",1.3C,,,P4,A5.12.,
,UN0339,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE or CARTRIDGES, SMALL ARMS",1.4C,,,"P5, A69",A5.12.,
,UN0012,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE or CARTRIDGES, SMALL ARMS",1.4S,,,"P5, 112, A69",A5.12.,
,,"Cartridges, illuminating, see AMMUNITION
ILLUMINATING, etc",,,,,,
,UN0277,"CARTRIDGES, OIL WELL",1.3C,,,"P4, A69",A5.17.,
,UN0278,"CARTRIDGES, OIL WELL",1.4C,,,"P5, A69",A5.17.,
,UN0275,"CARTRIDGES, POWER DEVICE",1.3C,,,P4,A5.17.,
,UN0276,"CARTRIDGES, POWER DEVICE",1.4C,,,"P5, 110, A69",A5.17.,
,UN0381,"CARTRIDGES, POWER DEVICE",1.2C,,,P4,A5.17.,
,UN0323,"CARTRIDGES, POWER DEVICE",1.4S,,,"P5, 110, 112,
347, A69",A5.17.,
,,"Cartridges, safety, blank, see CARTRIDGES FOR WEAPONS, BLANK",,,,,,
,,"Cartridges, safety, see CARTRIDGES, FOR WEAPONS, INERT PROJECTILES, or CARTRIDGES, SMALL ARMS, or CARTRIDGES POWER DEVICE",,,,,,
,UN0054,"CARTRIDGES, SIGNAL",1.3G,,,P4,A5.18.,
,UN0312,"CARTRIDGES, SIGNAL",1.4G,,,P5,A5.18.,
,UN0405,"CARTRIDGES, SIGNAL",1.4S,,,"P5, A69",A5.18.,
,,"Cartridges, sporting, see CARTRIDGES FOR WEAPONS, INERT PROJECTILE, or
CARTRIDGES, SMALL ARMS",,,,,,
,,"Cartridges, starter, jet engine, see CARTRIDGES,
POWER DEVICE",,,,,,
,,"Case oil, see MOTOR SPIRIT or PETROLEUM
DISTILLATES, N.O.S.",,,,,,
,UN0379,"CASES, CARTRIDGE, EMPTY WITH PRIMER",1.4C,,,"P5, A69",A5.19.,
,UN0055,"CASES, CARTRIDGE, EMPTY WITH PRIMER",1.4S,,,"P5, A69",A5.19.,
,UN0447,"CASES, COMBUSTIBLE, EMPTY WITHOUT PRIMER",1.3C,,,P4,A5.19.,
,UN0446,"CASES, COMBUSTIBLE, EMPTY WITHOUT PRIMER",1.4C,,,P5,A5.19.,
,,"Casinghead gasoline, see GASOLINE",,,,,,
,UN2969,"CASTOR BEANS or CASTOR MEAL or CASTOR
POMACE or CASTOR FLAKE",9,,II,P5,A13.2.,
*,UN1719,"CAUSTIC ALKALI LIQUIDS, N.O.S.",8,,"II
III","P4
P5","A12.2.
A12.2.",
,,"Caustic antimony, see ANTIMONY TRICHLORIDE
SOLID or ANTIMONY TRICHLORIDE SOLUTION",,,,,,
,,"Caustic arsenic chloride, see ARSENIC
TRICHLORIDE",,,,,,
,,"Caustic potash, see POTASSIUM HYDROXIDE,
SOLUTION, etc",,,,,,
,,"Caustic soda, see SODIUM HYDROXIDE, , SOLID
or SODIUM HYDROXIDE SOLUTION",,,,,,
,,"Caustic soda liquor, see SODIUM HYDROXIDE SOLUTION",,,,,,
,,"Cellosolve, see ETHYLENE GLYCOL MONOETHYL ETHER",,,,,,
,,"Cellosolve acetate, see ETHYLENE GLYCOL MONOETHYL ETHER ACETATE",,,,,,
,UN3292,"CELLS, CONTAINING SODIUM",4.3,,II,P4,A8.18.,
,UN2000,"CELLULOID, in blocks, rods, rolls, sheets, tubes, etc.
except scrap",4.1,,III,P5,A8.3.,
,UN2002,"CELLULOID, SCRAP",4.2,,III,P5,A8.3.,
,,"Cement flammable, see ADHESIVES containing flammable liquid",,,,,,
,UN1333,"CERIUM, slabs, ingots, or rods",4.1,,II,"P5, N34",A8.3.,
,UN3078,"CERIUM, turnings or gritty powder",4.3,,II,"P5, A1",A8.3.,
,,"Cer mischmetall, see FERROCERIUM",,,,,,
,UN1407,CESIUM or CAESIUM,4.3,,I,"P3, A7, A19, N34, N40",A8.3.,
,UN1451,CESIUM NITRATE or CAESIUM NITRATE,5.1,,III,"P5, A1, A29",A9.6.,
,,"Charcoal activated, see CARBON ACTIVATED",,,,,,
,,"Charcoal non-activated, see CARBON",,,,,,
,,"Charcoal screenings, wet",,,,,FORBIDDEN,
,,"Charcoal, wet",,,,,FORBIDDEN,
D,NA1361,"CHARCOAL briquettes, shell, screenings, wood, etc.",4.2,,III,P5,A8.3.,
,,"Charcoal, wet",,,,,FORBIDDEN,
,UN0457,"CHARGES, BURSTING, PLASTICS BONDED",1.1D,,,P4,A5.12.,
,UN0458,"CHARGES, BURSTING, PLASTICS BONDED",1.2D,,,P4,A5.12.,
,UN0459,"CHARGES, BURSTING, PLASTICS BONDED",1.4D,,,P5,A5.12.,
,UN0460,"CHARGES, BURSTING, PLASTICS BONDED",1.4S,,,"P5, 347, A69",A5.12.,
,UN0048,"CHARGES, DEMOLITION",1.1D,,,"P4, A69",A5.12.,
,UN0056,"CHARGES, DEPTH",1.1D,,,P4,A5.12.,
,,"Charges, expelling, explosive, for fire extinguishers, see
CARTRIDGES, POWER DEVICE",,,,,,
,UN0442,"CHARGES, EXPLOSIVE, COMMERCIAL without
detonator",1.1D,,,"P4, A69",A5.20.,
,UN0443,"CHARGES, EXPLOSIVE, COMMERCIAL without
detonator",1.2D,,,"P4, A69",A5.20.,
,UN0444,"CHARGES, EXPLOSIVE, COMMERCIAL without
detonator",1.4D,,,"P5, A69",A5.20.,
,UN0445,"CHARGES, EXPLOSIVE, COMMERCIAL without
detonator",1.4S,,,"P5, 347, A69",A5.20.,
,UN0271,"CHARGES, PROPELLING",1.1C,,,P4,A5.26.,
,UN0415,"CHARGES, PROPELLING",1.2C,,,P4,A5.26.,
,UN0272,"CHARGES, PROPELLING",1.3C,,,P4,A5.26.,
,UN0491,"CHARGES, PROPELLING",1.4C,,,P5,A5.26.,
,UN0279,"CHARGES, PROPELLING, FOR CANNON",1.1C,,,P4,A5.12.,
,UN0414,"CHARGES, PROPELLING, FOR CANNON",1.2C,,,P4,A5.12.,
,UN0242,"CHARGES, PROPELLING, FOR CANNON",1.3C,,,P4,A5.12.,
,UN0059,"CHARGES, SHAPED, without detonator",1.1D,,,P4,A5.20.,
,UN0439,"CHARGES, SHAPED, without detonator",1.2D,,,P4,A5.20.,
,UN0440,"CHARGES, SHAPED, without detonator",1.4D,,,P5,A5.20.,
,UN0441,"CHARGES, SHAPED, without detonator",1.4S,,,"P5, 347,  A69",A5.20.,
,UN0288,"CHARGES, SHAPED, FLEXIBLE, LINEAR",1.1D,,,"P4, A69",A5.21.,
,UN0237,"CHARGES, SHAPED, FLEXIBLE, LINEAR",1.4D,,,"P5, A69",A5.21.,
,UN0060,"CHARGES, SUPPLEMENTARY, EXPLOSIVE",1.1D,,,P4,A5.15.,
,UN3316,CHEMICAL KIT,9,,,P5,A13.18.,
,UN3315,"CHEMICAL SAMPLE, TOXIC",2.2,,,,FORBIDDEN,
*,UN3500,"CHEMICAL UNDER PRESSURE,  N.O.S.",2.2,,,"P5, 362",A6.22.,
*,UN3503,"CHEMICAL UNDER PRESSURE, CORROSIVE,
N.O.S.",2.2,8,,"P4, 362",A6.22.,
*,UN3505,"CHEMICAL UNDER PRESSURE, FLAMMABLE,
CORROSIVE, N.O.S.",2.1,8,,"P4, 362",A6.22.,
*,UN3501,"CHEMICAL UNDER PRESSURE, FLAMMABLE,
N.O.S.",2.1,,,"P4, 362",A6.22.,
*,UN3504,"CHEMICAL UNDER PRESSURE, FLAMMABLE, TOXIC, N.O.S.",2.1,6.1,,"P4, 362",A6.22.,
*,UN3502,"CHEMICAL UNDER PRESSURE, TOXIC, N.O.S.",2.2,6.1,,"P4, 362",A6.22.,
,,"Chile saltpeter, see SODIUM NITRATE",,,,,,
,UN2075,"CHLORAL, ANHYDROUS, STABILIZED",6.1,,II,P5,A10.5.,
,,"Chloral, anhydrous, unstabilized",,,,,FORBIDDEN,
,UN1458,CHLORATE AND BORATE MIXTURES,5.1,,II III,"P5, A9, N34 P5, A9, N34","A9.6.
A9.6.",
,UN1459,"CHLORATE AND MAGNESIUM CHLORIDE MIXTURE, SOLID",5.1,,"II
III","P5, A9, N34
P5, A9, N34","A9.6.
A9.6.",
,UN3407,CHLORATE AND MAGNESIUM CHLORIDE MIXTURE SOLUTION,5.1,,II III,"P5, A9, N34 P5, A9, N34","A9.5.
A9.5.",
,,"Chlorate of potash, see POTASSIUM CHLORATE",,,,,,
,,"Chlorate of soda, see SODIUM CHLORATE",,,,,,
,UN1461,"CHLORATES, INORGANIC, N.O.S.",5.1,,II,"P5, A9, N34",A9.6.,
,UN3210,"CHLORATES, INORGANIC, AQUEOUS SOLUTION, N.O.S.",5.1,,II III,P5 P5,"A9.5.
A9.5.",
,UN2626,"CHLORIC ACID AQUEOUS SOLUTION, with not
more  than 10% chloric acid",5.1,,II,,FORBIDDEN,
,,"Chloric acid, aqueous solution with more than 10%
chloric acid",,,,,FORBIDDEN,
,,"Chloride of phosphourous, see PHOSPHORUS
TRICHLORIDE",,,,,,
,,"Chloride of sulphur, see SULPHUR CHLORIDE",,,,,,
,,"Chlorinated lime, see CALCIUM HYPOCHLORITE MIXTURES or CALCIUM HYPOCHLORITE, DRY or CALCIUM HYPOCHLORITE
HYDRATED",,,,,,
,UN1017,CHLORINE,2.3,"5.1, 8",,"P2, 2, N86",A6.4.,
,UN3520,"CHLORINE, ADSORBED",2.3,"5.1, 8",,"P2, 2, N86",A6.4.,
,,Chlorine azide,,,,,FORBIDDEN,
,,Chlorine dioxide (not hydrate),,,,,FORBIDDEN,
D,NA9191,"CHLORINE DIOXIDE HYDRATE, FROZEN",5.1,6.1,,,FORBIDDEN,
,UN2548,CHLORINE PENTAFLUORIDE,2.3,"5.1, 8",,"P1, 1, N86",A6.15.,
,UN1749,CHLORINE TRIFLUORIDE,2.3,"5.1, 8",,"P2, 2, N86",A6.4.,
,UN1908,CHLORITE SOLUTION,8,,"II
III","P5, A3, A7, N34
P5, A3, A7, N34","A12.2.
A12.2.",
,,"Chloroacetaldehyde, see 2-CHLOROETHANAL",,,,,,
,UN1462,"CHLORITES, INORGANIC, N.O.S.",5.1,,II,"P5, A7, N34",A9.6.,
,UN2517,"1-CHLORO-1, 1-DIFLUOROETHANES or
REFRIGERANT GAS R142B",2.1,,,P4,"A6.3., A6.4.",
,UN2236,"3-CHLORO-4-METHYLPHENYL ISOCYANATE, LIQUID",6.1,,II,P5,A10.4.,
,UN3428,"3-CHLORO-4-METHYLPHENYL ISOCYANATE, SOLID",6.1,,II,P5,A10.5,
,,"1-Chloro-2-methylpropane, see CHLOROBUTANES",,,,,,
,,"2 Chloro-2-methylopropane, see CHLOROBUTANES",,,,,,
,,"3-Chloro-2-methylprop-1-ene, see METHYLALLYL
CHLORIDE",,,,,,
,UN1021,"1-CHLORO-1,2,2,2-TETRAFLUOROETHANE or
REFRIGERANT GAS R124",2.2,,,P5,"A6.3., A6.4.",
,UN1579,"4-CHLORO-O-TOLUIDINE HYDROCHLORIDE, SOLID",6.1,,III,P5,A10.5.,
,UN3410,"4-CHLORO-O-TOLUIDINE HYDROCHLORIDE, SOLUTION",6.1,,III,P5,A10.4,
,UN1983,"1-CHLORO-2,2,2-TRIFLUOROETHANE or
REFRIGERANT GAS R133A",2.2,,,P5,"A6.3., A6.4.",
,UN3250,"CHLOROACETIC ACID, MOLTEN",6.1,8,II,,FORBIDDEN,
,UN1751,"CHLOROACETIC ACID, SOLID",6.1,8,II,"P5, A3, A7,
N34",A10.5.,
,UN1750,"CHLOROACETIC ACID, SOLUTION",6.1,8,II,"P4, A7, N34",A10.4.,
,UN1695,"CHLOROACETONE, STABILIZED",6.1,"3, 8",I,"P5, 2, N12, N32, N34",A10.6.,
,,Chloroacetone (unstabilized),,,,,FORBIDDEN,
+,UN2668,CHLOROACETONITRILE,6.1,3,II,"P2, 2",A10.6.,
,UN3416,"CHLOROACETOPHENONE, LIQUID (CN)",6.1,,II,"P5, A3, N12,
N32, N33",A10.4.,
,UN1697,"CHLOROACETOPHENONE, SOLID (CN)",6.1,,II,"P5, A3, N12,
N32, N33, N34",A10.5.,
,UN1752,CHLOROACETYL CHLORIDE,6.1,8,I,"P2, 2, A7,
N34, N43",A12.11.,
,UN2019,"CHLOROANILINES, LIQUID",6.1,,II,P5,A10.4.,
,UN2018,"CHLOROANILINES, SOLID",6.1,,II,P5,A10.5.,
,UN2233,CHLOROANISIDINES,6.1,,III,P5,A10.5.,
,UN1134,CHLOROBENZENE,3,,III,P5,A7.2.,
,,"Chlorobenzol, see CHLOROBENZENE",,,,,,
,UN2234,CHLOROBENZOTRIFLUORIDES,3,,III,P5,A7.2.,
,UN2235,"CHLOROBENZYL CHLORIDES, LIQUID",6.1,,III,P5,A10.4.,
,UN3427,"CHLOROBENZYL CHLORIDES, SOLID",6.1,,III,,A10.5,
,,"Chlorobromomethane, see
BROMOCHLOROMETHANE",,,,,,
,,"1-Chloro-3-bromopropane, see 1-BROMO-3- CHLOROPROPANE",,,,,,
,,"1-Chlorobutane or 2-Chlorobutane, see
CHLOROBUTANES",,,,,,
,UN2688,1-CHLORO-3-BROMOPROPANE,6.1,,III,P5,A10.4.,
,UN1127,CHLOROBUTANES,3,,II,P5,A7.2.,
,UN3437,"CHLOROCRESOLS,SOLID",6.1,,II,P5,A10.4.,
,UN2669,"CHLOROCRESOLS, SOLUTION",6.1,,"II
III","P5
P5","A10.6.
A10.6.",
,,"3-Chloro-4-diethylaminobenzenediazonium zinc chloride,see SELF-REACTIVE SOLID TYPE D",,,,,,
,UN1974,"CHLORODIFLUOROBROMOMETHANE or
REFRIGERANT GAS R12B1",2.2,,,P5,"A6.3., A6.4.",
,UN1018,"CHLORODIFLUOROMETHANE or
REFRIGERANT GAS R22",2.2,,,P5,"A6.3., A6.4.",
,UN1973,"CHLORODIFLUOROMETHANE AND CHLOROPENTAFLUOROETHANE MIXTURE or
REFRIGERANT GAS R502 with fixed boiling point, with approximately 49% chlorodifluoromethane",2.2,,,P5,"A6.3., A6.4.",
,,"3-Chloro-1,2-dihydroxypropane, see GLYCEROL
ALPHA-MONOCHLOROHYDRIN",,,,,,
,,"Chlorodimethyl, see METHYL CHLOROMETHYL
ETHER",,,,,,
+,UN1577,"CHLORODINITROBENZENES, LIQUID",6.1,,II,P5,A10.4.,
+,UN3441,"CHLORODINITROBENZENES, SOLID",6.1,,II,P5,A10.5.,
,,"Chlorodinitrobenzol, see
CHLORODINITROBENZENES LIQUID or SOLID",,,,,,
,UN2232,2-CHLOROETHANAL,6.1,,I,"P2, 2",A10.6.,
,,"Chloroethane, see ETHYL CHLORIDE",,,,,,
,,"Chloroethane nitrile, see CHLOROACETONITRILE",,,,,,
,,"2-Choloroethanol, see ETHYLENE CHLOROHYDRIN",,,,,,
,UN1888,CHLOROFORM,6.1,,III,"P5, N36",A10.4.,
*,UN3277,"CHLOROFORMATES, TOXIC, CORROSIVE,
N.O.S.",6.1,8,II,P3,A10.4.,
,UN2742,"CHLOROFORMATES, TOXIC, CORROSIVE,
FLAMMABLE, N.O.S.",6.1,"8, 3",II,"P2, 5",A10.4.,
,,"Chloromethane, see METHYL CHLORIDE",,,,,,
,,"1-Chloro-3-methylbutane, see AMYL CHLORIDE",,,,,,
,,"2-Chloro-2-methylbutane, see AMYL CHLORIDE",,,,,,
,UN2745,CHLOROMETHYL CHLOROFORMATE,6.1,8,II,P4,A10.4.,
,,"Chloromethyl cyanide, see
CHLOROACETONEITRILE",,,,,,
,UN2354,CHLOROMETHYL ETHYL ETHER,3,6.1,II,P4,A7.2.,
,,"Chloromethyl methyl ether, see METHYL CHLOROMETHYL ETHER",,,,,,
,UN2237,CHLORONITROANILINES,6.1,,III,P5,A10.5.,
+,UN3409,"CHLORONITROBENZENES, LIQUID",6.1,,II,P4,A10.4.,
+,UN1578,"CHLORONITROBENZENES, SOLID,  meta or
para,",6.1,,II,P5,A10.5.,
,UN2433,"CHLORONITROTOLUENES, LIQUID",6.1,,III,P5,A10.4.,
,UN3457,"CHLORONITROTOLUENES, SOLID",6.1,,III,P5,A10.5.,
,UN1020,"CHLOROPENTAFLUOROETHANE or
REFRIGERANT GAS R115",2.2,,,P5,"A6.3., A6.4.",
,,"3-Chloroperoxybenzoic acid,not less than 57% and no more than 86% when with more or equal to 14% inert.",,,,,FORBIDDEN,
,UN2904,"CHLOROPHENOLATES, LIQUID, or
PHENOLATES, LIQUID",8,,III,P5,A12.2.,
,UN2905,"CHLOROPHENOLATES, SOLID or
PHENOLATES SOLID",8,,III,P5,A12.3.,
,UN2021,"CHLOROPHENOLS, LIQUID",6.1,,III,P5,A10.4.,
,UN2020,"CHLOROPHENOLS, SOLID",6.1,,III,P5,A10.5.,
,UN1753,CHLOROPHENYLTRICHLOROSILANE,8,,II,"P4, A7, N34",A12.2.,
+,UN1580,CHLOROPICRIN,6.1,,I,"P2, 2",A10.6.,
,UN1581,"CHLOROPICRIN AND METHYL BROMIDE
MIXTURES with more than 2% chloropicrin",2.3,,,"P2, 2, N86",A6.16.,
,UN1582,"CHLOROPICRIN AND METHYL CHLORIDE
MIXTURES",2.3,,,"P2, 2, N86",A6.16.,
,,"Chloropicrun mixture, flammable (pressure not
exceeding 14.7 psia at 115 degrees F flashpoint below 100 degrees F); see TOXIC LIQUIDS,
FLAMMABLE, etc",,,,,,
,UN1583,"CHLOROPICRIN MIXTURES, N.O.S.",6.1,,"I II
III","P2, 5 P3
P5","A10.4.
A10.4.
A10.4.",
D,NA9263,CHLOROPIVALOYL CHLORIDE,6.1,8,I,"P2, 2",A10.6.,
,UN2507,"CHLOROPLATINIC ACID, SOLID",8,,III,P5,A12.3.,
,UN1991,"CHLOROPRENE, STABILIZED",3,6.1,I,"P3 , 387",A7.2.,
,,"Chloroprene, unstabilized or uninhibited",,,,,FORBIDDEN,
,UN1278,1-CHLOROPROPANE,3,,II,"P5, N34",A7.2.,
,UN2356,2-CHLOROPROPANE,3,,I,"P3, N36",A7.2.,
,,"3-Chloro-propanediol-1,2, see GLYCEROL ALPHA-
MONOCHLOROHYDRIN",,,,,,
,UN2849,3-CHLOROPROPANOL-1,6.1,,III,P5,A10.4.,
,,"3-Choloropropene or 3-Chloroprop-1-ene , see ALLYL
CHLORIDE",,,,,,
,UN2456,2-CHLOROPROPENE,3,,I,"P3, N36",A7.2.,
,UN2511,2-CHLOROPROPIONIC ACID,8,,III,P5,A12.2 A12.3,
,UN2822,2-CHLOROPYRIDINE,6.1,,II,P5,A10.4.,
,UN2987,"CHLOROSILANES, CORROSIVE N.O.S.",8,,II,P4,A12.15.,
,UN2986,"CHLOROSILANES, CORROSIVE, FLAMMABLE,
N.O.S",8,3,II,P4,A12.15.,
,UN2985,"CHLOROSILANES, FLAMMABLE,
CORROSIVE, N.O.S.",3,8,II,P4,A7.10.,
,UN3361,"CHLOROSILANES, TOXIC, CORROSIVE, N.O.S.",6.1,8,II,P5,A10.11.,
,UN3362,"CHLOROSILANES, TOXIC, CORROSIVE, FLAMMABLE N.O.S.",6.1,"3, 8",II,P5,A10.11.,
,UN2988,"CHLOROSILANES, WATER REACTIVE, CORROSIVE, FLAMMABLE N.O.S.",4.3,"3, 8",I,"P3, A2",A8.2.,
+,UN1754,"CHLOROSULPHONIC ACID (with or without
sulphur trioxide)",8,6.1,I,"P2, 2",A12.11.,
,UN1021,"1-CHLORO-1,2,2,2-TETRAFLUOROETHANE or
REFRIGERANT GAS R124",2.2,,,P5,"A6.3., A6.4.",
,UN2238,CHLOROTOLUENES,3,,III,P5,A7.2.,
,UN3429,"CHLOROTOLUIDINES, LIQUID",6.1,,III,P5,A10.4,
,UN2239,"CHLOROTOLUIDINES, SOLID",6.1,,III,P5,"A10.4., A10.5.",
,UN1022,"CHLOROTRIFLUOROMETHANE or
REFRIGERANT GAS R13",2.2,,,P5,"A6.3., A6.4.",
,UN2599,"CHLOROTRIFLUOROMETHANE AND TRIFLUOROMETHANE AZEOTROPIC MIXTURE or REFRIGERANT GAS R503 with
approximately 60%  Chlorotrifluoromethane",2.2,,,P5,"A6.3., A6.4.",
